self_1,s1,self_2,s2,self_3,s3,self_4,s4,self_5,s5,self_6,s6,self_7,s7,self_8,s8,self_9,s9,self_10,s10
I am a son/daughter.,R,I am a friend.,R,I am a student.,C,I am a brother/sister.,R,I am an athlete.,C,I am an employee.,C,I am a musician.,C,I am an artist.,C,I am a Christian.,C,I am a volunteer.,C
I am a man,C,I am a woman,C,I am a parent,R,I am a teacher,C,I am a student,C,I am an athlete,C,I am a musician,C,I am a writer,C,I am an artist,C,I am a friend,R
I am an athlete.,C,I am a musician.,C,I am a student.,C,I am a parent.,R,I am a teacher.,C,I am a professional.,C,I am an artist.,C,I am a writer.,C,I am a leader.,C,I am a friend.,R
I am a woman.,C,I am a student.,C,I am a parent.,R,I am an artist.,C,I am a teacher.,C,I am a doctor.,C,I am an athlete.,C,I am a manager.,C,I am a musician.,C,I am a writer.,C
I am a male.,C,I am a female.,C,I am a Christian.,C,I am a parent.,R,I am a student.,C,I am an employee.,C,I am employed in a specific profession or field.,C,I am a US citizen.,C,I am a member of a particular political party.,C,I am a resident of a specific region or city.,C
I am an independent thinker.,C,I am ambitious.,C,I am kind.,C,I am a feminist.,C,I am spiritual.,C,I am a role model.,C,I am open minded.,C,I am a problem solver.,C,I am creative.,C,I am a believer.,C
I am a woman.,C,I am a mother.,R,I am an Hispanic.,C,I am a Christian.,C,I am an American.,C,I am a veteran.,C,I am a business owner.,C,I am an artist.,C,I am a writer.,C,I am a hobbyist.,C
I am an American.,C,I am a son/daughter.,R,I am a student.,C,I am a friend.,R,I am an athlete.,C,I am a scientist.,C,I am a musician.,C,I am an artist.,C,I am a traveler.,C,I am a hobbyist.,C
I am an individual.,C,I am a daughter/son.,R,I am a student.,C,I am an employee.,C,I am a friend.,R,I am a cousin.,R,I am a neighbor.,R,I am a citizen.,C,I am a volunteer.,C,I am a hobbyist.,C
I am a son,R,I am a daughter,R,I am a sibling,R,I am a friend,R,I am a student,C,I am a teacher,C,I am an artist,C,I am an athlete,C,I am a musician,C,I am a writer,C
I am a woman,C,I am a man,C,I am bisexual,C,I am black,C,I am white,C,I am a student,C,I am a parent,R,I am a runner,C,I am religious,C,I am atheist,C
I am a student.,C,I am an athlete.,C,I am a musician.,C,I am an artist.,C,I am an entrepreneur.,C,I am a teacher.,C,I am a sister.,R,I am a daughter.,R,I am a friend.,R,I am a mentor.,C
I am a woman.,C,I am a man.,C,I am a parent.,R,I am a student.,C,I am an artist.,C,I am an athlete.,C,I am a Christian.,C,I am a Democrat.,C,I am an American.,C,I am a musician.,C
I am a male.,C,I am a female.,C,I am a Christian.,C,I am an athlete.,C,I am an artist.,C,I am a student.,C,I am a teacher.,C,I am a professional.,C,I am a parent.,R,I am a mentor.,C
Am a son/daughter/parent.,R,Am a student.,C,Am a friend.,R,Am a citizen.,C,Am a businessman/businesswoman.,C,Am a Christian/Jew/Muslim/Atheist.,C,Am an athlete/artist/musician.,C,Am a neighbor.,R,Am a hobbyist.,C,Am a volunteer.,C
I am a female.,C,I am a Christian.,C,I am a father.,R,I am a son.,R,I am a public school teacher.,C,I am an introvert.,C,I am a sports fan.,C,I am a Democrat.,C,I am a music lover.,C,I am a jazz musician.,C
I am a teacher.,C,I am a father.,R,I am a son.,R,I am a sister.,R,I am a husband.,R,I am a musician.,C,I am an artist.,C,I am a friend.,R,I am a student.,C,I am a entrepreneur.,C
I am a father.,R,I am an artist.,C,I am a woman.,C,I am a runner.,C,I am a student.,C,I am a singer.,C,I am a gamer.,C,I am an activist.,C,I am a teacher.,C,I am a writer.,C
I am a son/daughter of my parents.,R,I am a student or a professional.,C,I am a member of a certain religion or faith.,C,I am part of a certain race or ethnicity.,C,I am married or single.,C,I am a certain gender.,C,I am a certain age.,C,I am a citizen or resident of a certain nation.,C,I am living in a certain region or town.,C,"I am a fan of a certain team, movie, music artist, or book.",C
I am a female,C,I am a 26-year-old,C,I am a college graduate,C,I am an employee,C,I am Catholic,C,I am an avid reader,C,I am a volunteer,C,I am a runner,C,I am a daughter,R,I am a friend,R
I am female.,C,I am a college student.,C,I am an athlete.,C,I am a musician.,C,I am a Christian.,C,I am a mother.,R,I am Latino/Hispanic.,C,I am an engineer.,C,I am a pacifist.,C,I am an artist.,C
I am a son/daughter.,R,I am a friend.,R,I am a scholar.,C,I am a member of a cultural group.,C,I am a lover.,C,I am a leader.,C,I am a team player.,C,I am an artist.,C,I am an activist.,C,I am a dreamer.,C
I am a son/daughter,R,I am a brother/sister,R,I am a student,C,I am an employee,C,I am a friend,R,I am a spouse,R,I am a neighbor,R,I am a hobbyist,C,I am an entrepreneur,C,I am a volunteer,C
I am an individual.,C,I am a student.,C,I am a teacher.,C,I am a parent.,R,I am a professional.,C,I am an artist.,C,I am an athlete.,C,I am a musician.,C,I am a writer.,C,I am a member of a particular religious or cultural group.,C
I am a male.,C,I am a female.,C,I am heterosexual.,C,I am homosexual.,C,I am Caucasian.,C,I am African American.,C,I am Asian.,C,I am a college student.,C,I am a chemist.,C,I am a certified scuba diver.,C
I am a female.,C,I am a student.,C,I am an artist.,C,I am a runner.,C,I am a thinker.,C,I am a teacher.,C,I am an entrepreneur.,C,I am a friend.,R,I am a reader.,C,I am an activist.,C
I am a teacher.,C,I am a relative.,R,I am a student.,C,I am a parent.,R,I am an artist.,C,I am an athlete.,C,I am a musician.,C,I am a chef.,C,I am a entrepreneur.,C,I am a friend.,R
I am a man/woman/person.,C,I am a son/daughter/child.,R,I am a Christian/Muslim/Hindu/Jew.,C,I am a citizen of the United States/United Kingdom/Germany/China etc.,C,I am an employee/employer/self employed.,C,I am a student/teacher/professor.,C,I am a career professional.,C,I am a pet owner.,C,I am a member of the LGBT community.,C,I am a volunteer/philanthropist.,C
I am a student.,C,I am a pet-owner.,C,I am a worker.,C,I am a friend.,R,I am a sports fan.,C,I am a spiritualist.,C,I am a cook.,C,I am a traveler.,C,I am a hobbyist.,C,I am a fashionista.,C
I am an artist.,C,I am a musician.,C,I am a cook.,C,I am a mathematician.,C,I am an athlete.,C,I am a teacher.,C,I am a scientist.,C,I am a sports fan.,C,I am a writer.,C,I am a programmer.,C
I am a Christian.,C,I am an artist.,C,I am a student.,C,I am a musician.,C,I am an entrepreneur.,C,I am a mother.,R,I am an athlete.,C,I am a writer.,C,I am a teacher.,C,I am a friend.,R
I am a person with specific interests.,C,I am an individual with certain values.,C,I am an athlete.,C,I am an artist.,C,I am a student.,C,I am a businessman/businesswoman.,C,I am an intellectual.,C,I am a spiritualist.,C,I am a social activist.,C,I am a dreamer.,C
I am a daughter of two parents.,R,I am an American citizen.,C,I am a student.,C,I am a Christian.,C,I am an artist.,C,I am of Asian descent.,C,I am a human rights advocate.,C,I am a musician.,C,I am fluent in Spanish.,C,I am a friend to many.,R
I am a parent,R,I am a student,C,I am an employee,C,I am a volunteer,C,I am an artist,C,I am an athlete,C,I am a musician,C,I am a teacher,C,I am a traveler,C,I am a friend,R
I am a student.,C,I am an artist.,C,I am a teacher.,C,I am a parent.,R,I am a business owner.,C,I am a listener.,C,I am a writer.,C,I am a musician.,C,I am an athlete.,C,I am a mentor.,C
I am a father.,R,I am a teacher.,C,I am a Christian.,C,I am a runner.,C,I am an artist.,C,I am left-handed.,C,I am an earthling.,C,I am a tech enthusiast.,C,I am a traveler.,C,I am a student.,C
I am male.,C,I am female.,C,I am a millennial.,C,I am a Gen Xer.,C,I am an artist.,C,I am a scientist.,C,I am a Democrat.,C,I am a Libertarian.,C,I am an atheist.,C,I am a Christian.,C
I am a woman.,C,I am a mother.,R,I am an artist.,C,I am a writer.,C,I am a student.,C,I am a teacher.,C,I am a musician.,C,I am a businessperson.,C,I am a spiritual leader.,C,I am a volunteer.,C
I am a basketball player.,C,I am a dog lover.,C,I am a musician.,C,I am an artist.,C,I am a student.,C,I am a scientist.,C,I am a Christian.,C,I am a feminist.,C,I am an adventurer.,C,I am a social media user.,C
I am a son/daughter.,R,I am a brother/sister.,R,I am an employee/employer.,C,I am a student.,C,I am a friend.,R,I am a lover.,C,I am a parent.,R,I am a neighbor.,R,I am a mentor.,C,I am a community member.,C
I am my own person.,C,I am a son/daughter.,R,I am a member of my community.,C,I am a believer in a certain religion.,C,"I am an individual with unique talents, abilities, and gifts.",C,I am an employee.,C,I am an advocate for the cause I believe in.,C,I am a learner.,C,I am an advocate for justice.,C,"I am a lover of art, music, and/or literature.",C
I am a student.,C,I am an employee.,C,I am a sibling.,R,I am a parent.,R,I am a photographer.,C,I am a writer.,C,I am an artist.,C,I am a programmer.,C,I am a sports player.,C,I am a musician.,C
I am female.,C,I am an American citizen.,C,I am Christian.,C,I am 25 years old.,C,I am a student.,C,I am a runner.,C,I am a volunteer at a homeless shelter.,C,I am an artist.,C,I am vegetarian.,C,I am a small business owner.,C
I am an introvert.,C,I am a female.,C,I am a music enthusiast.,C,I am a college student.,C,I am a Christian.,C,I am a artist.,C,I am a soccer player.,C,I am a volunteer.,C,I am a car enthusiast.,C,I am a follower of fashion.,C
I am Male,C,I am Female,C,I am a married person,C,I am Catholic,C,I am American,C,I am a student,C,I am a teacher,C,I am a scientist,C,I am an artist,C,I am a writer,C
I am an educated adult.,C,I am a Protestant Christian.,C,I am an American citizen.,C,I am a homeowner.,C,I am a father/mother.,R,I am a friendly person.,C,I am a volunteer in my community.,C,I am skilled in a certain profession.,C,I am involved in a particular hobby.,C,I am a kind individual.,C
I am a woman.,C,I am a man.,C,I am a vegetarian.,C,I am a Christian.,C,I am an athlete.,C,I am a scientist.,C,I am a student.,C,I am a musician.,C,I am an artist.,C,I am a parent.,R
I am an individual.,C,I am a man or a woman.,C,I am a certain age.,C,I am from a certain country.,C,I am a certain race or ethnicity.,C,I am a certain religion.,C,I am a certain sexual orientation.,C,I am a certain political party.,C,I am a certain job or career.,C,I am a certain hobby or interest.,C
I am a man.,C,I am an American.,C,I am tall.,C,I am religious.,C,I am a friend.,R,I am an athlete.,C,I am courteous.,C,I am a son.,R,I am a musician.,C,I am a student.,C
I am a woman.,C,I am a man.,C,I am a Christian.,C,I am an American.,C,I am an engineer.,C,I am a business owner.,C,I am a teacher.,C,I am a student.,C,I am a parent.,R,I am an artist.,C
I am a son/daughter,R,I am a student,C,I am a sibling,R,I am a friend,R,I am a colleague,R,I am a person with a disability,C,I am a professional,C,I am a neighbor,R,I am a member of a club or team,C,I am a volunteer,C
I am a student.,C,I am a teacher.,C,I am a parent.,R,I am an athlete.,C,I am a writer.,C,I am a musician.,C,I am an artist.,C,I am an entrepreneur.,C,I am a religious follower.,C,I am a volunteer.,C
I am a student.,C,I am a teacher.,C,I am a musician.,C,I am a writer.,C,I am a politician.,C,I am an athlete.,C,I am a scientist.,C,I am an artist.,C,I am an entrepreneur.,C,I am a volunteer.,C
I am a woman.,C,I am a Christian.,C,I am a first-generation American.,C,I am a plant enthusiast.,C,I am a painter.,C,I am a stay-at-home parent.,C,I am a college student.,C,I am an animal lover.,C,I am an outdoorsman.,C,I am a photographer.,C
I am a mother.,R,I am a son.,R,I am a writer.,C,I am an athlete.,C,I am an artist.,C,I am a student.,C,I am a teacher.,C,I am an employee.,C,I am a friend.,R,I am a leader.,C
I am a student.,C,I am a teacher.,C,I am an artist.,C,I am a parent.,R,I am an entrepreneur.,C,I am a musician.,C,I am a chef.,C,I am a writer.,C,I am an athlete.,C,I am a friend.,R
I am a parent.,R,I am a sibling.,R,I am a student.,C,I am an employee.,C,I am religious.,C,I am a friend.,R,I am married.,C,I am a citizen.,C,I am an artist.,C,I am a musician.,C
I am a Christian.,C,I am a woman.,C,I am an engineer.,C,I am an American.,C,I am an artist.,C,I am a student.,C,I am a teacher.,C,I am a mother.,R,I am a writer.,C,I am a runner.,C
I am a mother.,R,I am a son.,R,I am a daughter.,R,I am a brother.,R,I am a sister.,R,I am a friend.,R,I am a student.,C,I am an employee.,C,I am an employer.,C,I am a neighbor.,R
I am a student.,C,I am a teacher.,C,I am a musician.,C,I am a writer.,C,I am an artist.,C,I am a mom.,R,I am a dad.,R,I am a businessperson.,C,I am a sports fan.,C,I am an entrepreneur.,C
I am a woman.,C,I am a daughter.,R,I am a Christian.,C,I am a student.,C,I am a teacher.,C,I am a painter.,C,I am a writer.,C,I am an environmentalist.,C,I am a musician.,C,I am a stay-at-home parent.,C
I am a daughter/son.,R,I am a sister/brother.,R,I am a student.,C,I am an employee.,C,I am an employer.,C,I am a friend.,R,I am a citizen.,C,I am a traveler.,C,I am a neighbor.,R,I am a volunteer.,C
I am a Christian,C,I am a woman,C,I am Canadian,C,I am an artist,C,I am a student,C,I am an athlete,C,I am an entrepreneur,C,I am a volunteer,C,I am a mother,R,I am a teacher,C
I am a woman.,C,I am a person of color.,C,I am a Christian.,C,I am an introvert.,C,I am an artist.,C,I am an athlete.,C,I am a student.,C,I am a parent.,R,I am a teacher.,C,I am a writer.,C
I am a female.,C,I am a student.,C,I am an artist.,C,I am a business owner.,C,I am a mother.,R,I am a Christian.,C,I am gay.,C,I am a union worker.,C,I am a vegan.,C,I am a mechanical engineer.,C
I am a son/daughter.,R,I am a sibling.,R,I am a friend.,R,I am a student.,C,I am an athlete.,C,I am a musician.,C,I am a writer.,C,I am an artist.,C,I am a coworker.,R,I am a mentor.,C
I am a woman.,C,I am an artist.,C,I am a student.,C,I am a musician.,C,I am a librarian.,C,I am a teacher.,C,I am a business owner.,C,I am an athlete.,C,I am vegan.,C,I am a writer.,C
I am a human.,C,I am an individual.,C,I am a woman/man.,C,I am a son/daughter.,R,I am a sibling.,R,I am a student.,C,I am a friend.,R,I am a worker.,C,I am a artist.,C,I am a believer.,C
I am a male.,C,I am a female.,C,I am an artist.,C,I am a teacher.,C,I am a student.,C,I am a musician.,C,I am an entrepreneur.,C,I am a writer.,C,I am a gamer.,C,I am a scientist.,C
I am a man.,C,I am a woman.,C,I am married.,C,I am a parent.,R,I am an employee.,C,I am a sports fan.,C,I am a musician.,C,I am an artist.,C,I am a believer in a particular faith or religion.,C,I am a lover of animals.,C
I am an artist,C,I am a father,R,I am a landscaper,C,I am an entrepreneur,C,I am a runner,C,I am a musician,C,I am a teacher,C,I am a volunteer,C,I am a writer,C,I am a Catholic,C
I am a student.,C,I am a sibling.,R,I am a friend.,R,I am an athlete.,C,I am a musician.,C,I am a neighbor.,R,I am a member of a religious organization.,C,I am a member of a civic organization.,C,I am an employee.,C,I am a volunteer.,C
I am a woman,C,I am a student,C,I am a married person,C,I am a Christian,C,I am a runner,C,I am an artist,C,I am a scientist,C,I am a parent,R,I am a musician,C,I am a writer,C
I am male.,C,I am female.,C,I am a parent.,R,I am a teenager.,C,I am a student.,C,I am professional.,C,I am an athlete.,C,I am a religious person.,C,I am an artist.,C,I am a gamer.,C
I am a college graduate.,C,I am a licensed driver.,C,I am a mother.,R,I am a Christian.,C,I am a career professional.,C,I am vegetarian.,C,I am a current residence of a particular city.,C,I am passionate about environmentalism.,C,I am a sports enthusiast.,C,I am an avid reader.,C
I am a woman.,C,I am a person of color.,C,I am an artist.,C,I am a Christian.,C,I am a father.,R,I am a student.,C,I am a veteran.,C,I am a programmer.,C,I am a writer.,C,I am a musician.,C
I am a mother.,R,I am a son.,R,I am a student.,C,I am an artist.,C,I am a writer.,C,I am a teacher.,C,I am a friend.,R,I am a Christian.,C,I am a musician.,C,I am a businessperson.,C
I am female.,C,I am a college student.,C,I am an artist.,C,I am a parent.,R,I am a Christian.,C,I am a vegan.,C,I am a runner.,C,I am a political activist.,C,I am a writer.,C,I am a creative person.,C
I am a man.,C,I am a woman.,C,I am a student.,C,I am a single parent,C,I am an entrepreneur.,C,I am a senior citizen.,C,I am a member of a specific religion.,C,I am an immigrant.,C,I am a veteran.,C,I am a member of a particular racial or ethnic group.,C
I am a male.,C,I am a female.,C,I am a parent.,R,I am a student.,C,I am a professional.,C,I am a Christian.,C,I am an entrepreneur.,C,I am a Democrat/Republican.,C,I am an artist.,C,I am a musician.,C
I am an artist.,C,I am a student.,C,I am a parent.,R,I am a teacher.,C,I am a sibling.,R,I am  a gamer.,C,I am an athlete.,C,I am a creative.,C,I am a scientist.,C,I am a traveler.,C
I am a son.,R,I am a daughter.,R,I am a friend.,R,I am creative.,C,I am athletic.,C,I am a spouse.,R,I am a sibling.,R,I am a spiritual seeker.,C,I am a student.,C,I am a professional.,C
I am a woman.,C,I am an American.,C,I am a Christian.,C,I am a student.,C,I am a musician.,C,I am a left-handed person.,C,I am an artist.,C,I am a teacher.,C,I am a writer.,C,I am a computer programmer.,C
I am a mother,R,I am a daughter,R,I am a son,R,I am a business owner,C,I am a physician,C,I am a student,C,I am a senior,C,I am an artist,C,I am a friend,R,I am a neighbor,R
I am a student.,C,I am a son/daughter.,R,I am an artist.,C,I am a drummer.,C,I am a teacher.,C,I am a writer.,C,I am a friend.,R,I am a musician.,C,I am a gardener.,C,I am a traveler.,C
I am an individual.,C,I am a son or daughter.,R,I am a sibling.,R,I am a friend.,R,I am a citizen.,C,I am a member of a political party.,C,I am a member of a religion.,C,I am an ethnic minority.,C,I am a professional.,C,I am a member of a community.,C
I am a music lover.,C,I am an artist.,C,I am a daughter/son.,R,I am a friend.,R,I am a sister/brother.,R,I am an amateur cook.,C,I am an animal lover.,C,I am an extrovert.,C,I am an avid reader.,C,I am a traveler.,C
I am a daughter/son,R,I am a sister/brother,R,I am a friend,R,I am a student,C,I am an athlete,C,I am a musician,C,I am an artist,C,I am a cook,C,I am a reader,C,I am an activist,C
I am a son/daughter,R,I am a friend,R,I am a student,C,I am a scientist,C,I am a firefighter,C,I am a teacher,C,I am an artist,C,I am a musician,C,I am a coach,C,I am an entrepreneur,C
I am a female.,C,I am a mother.,R,I am a college student.,C,I am a writer.,C,I am a sister.,R,I am a Christian.,C,I am an athlete.,C,I am an artist.,C,I am a coworker.,R,I am a friend.,R
I am a female,C,I am a high school student,C,I am an American,C,I am an artist,C,I am a Christian,C,I am a musician,C,I am an introvert,C,I am a vegan,C,I am left-handed,C,I am a college student,C
I am female,C,I am a student,C,I am an artist,C,I am an LGBTQ+ ally,C,I am a member of a specific cultural/ethnic/religious group,C,I am a National Honor Society member,C,I am a gamer,C,I am a volunteer,C,I am passionate about environmental issues,C,I am a parent,R
I am an American.,C,I am a daughter/son.,R,I am a student.,C,I am an athlete.,C,I am a teacher.,C,I am Catholic/Christian/Jewish/Muslim/Hindu/etc.,C,I am a Southerner/New Englander/Midwesterner/Westerner.,C,I am a Democrat/Republican/Independent.,C,I am LGBTQ+.,C,I am a friend/sibling/parent/grandparent/relative.,R
I am a son/daughter.,R,I am a student.,C,I am a teacher.,C,I am a musician.,C,I am an athlete.,C,I am an artist.,C,I am a book reader.,C,I am a chef.,C,I am a traveler.,C,I am a tech enthusiast.,C
I am a female.,C,I am a student.,C,I am a mother.,R,I am a sister.,R,I am an engineer.,C,I am a doctor.,C,I am a painter.,C,I am a writer.,C,I am a musician.,C,I am an athlete.,C
I am an artist.,C,I am a parent.,R,I am a teacher.,C,I am a student.,C,I am a dancer.,C,I am a writer.,C,I am a musician.,C,I am a runner.,C,I am a chef.,C,I am a singer.,C
I am a son.,R,I am a daughter.,R,I am a father.,R,I am a mother.,R,I am a student.,C,I am an employee.,C,I am a teacher.,C,I am a friend.,R,I am an American.,C,I am a Christian.,C
I am a human.,C,I am an adult.,C,I am a son or daughter.,R,I am a husband or wife.,R,I am a brother or sister.,R,I am a worker.,C,I am a friend.,R,I am a neighbor.,R,I am a citizen.,C,I am a member of a community.,C
I am a man.,C,I am a woman.,C,I am an artist.,C,I am a writer.,C,I am a student.,C,I am a teacher.,C,I am a caregiver.,C,I am a lawyer.,C,I am a pharmacist.,C,I am a firefighter.,C
I am a mother.,R,I am a teacher.,C,I am a programmer.,C,I am an artist.,C,I am a student.,C,I am a Christian.,C,I am a gamer.,C,I am a vegan.,C,I am a lover of music.,C,I am a collector.,C
I am a musician.,C,I am an artist.,C,I am a student.,C,I am a writer.,C,I am a teacher.,C,I am a scientist.,C,I am an athlete.,C,I am an entrepreneur.,C,I am a member of a religious denomination.,C,I am a political activist.,C
I am a mother,R,I am a daughter,R,I am a friend,R,I am a teacher,C,I am a student,C,I am an artist,C,I am a writer,C,I am a musician,C,I am a runner,C,I am a gardener,C
I am a daughter/son.,R,I am a student.,C,I am a teacher.,C,I am an artist.,C,I am a musician.,C,I am an engineer.,C,I am an athlete.,C,I am a writer.,C,I am a scientist.,C,I am a religious person.,C
I am a student.,C,I am an avid reader.,C,I am a volunteer.,C,I am an athlete.,C,I am a musician.,C,I am a mother.,R,I am a teacher.,C,I am an artist.,C,I am a chef.,C,I am a business owner.,C
I am a father/mother.,R,I am a brother/sister.,R,I am an American/Canadian/British/etc.,C,I am a college student.,C,I am a professional.,C,I am an artist.,C,I am a Christian/Jew/Muslim/etc.,C,I am an athlete.,C,I am a musician.,C,I am a teacher.,C
I am a friend.,R,I am a daughter/son.,R,I am a sibling.,R,I am an athlete.,C,I am a student.,C,I am an artist.,C,I am a manager.,C,I am a professional.,C,I am a supporter.,C,I am a volunteer.,C
I am a woman.,C,I am a mother.,R,I am an engineer.,C,I am a Christian.,C,I am a democrat.,C,I am a yoga enthusiast.,C,I am of Asian descent.,C,I am a marathon runner.,C,I am an artist.,C,I am a traveler.,C
I am a son/daughter.,R,I am a student.,C,I am a friend.,R,I am a grandson/granddaughter.,R,I am an employee.,C,I am a homeowner.,C,I am a brother/sister.,R,I am a travel enthusiast.,C,I am an artist.,C,I am a dog-lover.,C
I am my name.,C,I am my race or ethnicity.,C,I am my gender identity.,C,I am my age.,C,I am my religion.,C,I am my profession.,C,I am my preferences.,C,I am my family history.,C,I am my cultural or national background.,C,I am my beliefs or political views.,C
I am an average person.,C,I am a parent.,R,I am a student.,C,I am a volunteer.,C,I am a teacher.,C,I am an entrepreneur.,C,I am a caregiver.,C,I am an artist.,C,I am a musician.,C,I am a writer.,C
I am male.,C,I am female.,C,I am heterosexual.,C,I am a Christian.,C,I am a Democrat.,C,I am an African-American.,C,I am an artist.,C,I am a computer scientist.,C,I am a parent.,R,I am a vegetarian.,C
I am male.,C,I am female.,C,I am a first-generation immigrant.,C,I am of Asian descent.,C,I am Christian.,C,I am a classical music enthusiast.,C,I am an entrepreneur.,C,I am a college student.,C,I am a foodie.,C,I am a comic book collector.,C
I am a mother/father.,R,I am a successful entrepreneur/executive.,C,I am a teacher/coach.,C,I am an artist/musician/writer.,C,I am a student/recent graduate.,C,I am a healthcare professional.,C,I am a person of faith.,C,I am a philanthropist.,C,I am an environmentalist.,C,I am an advocate for social causes.,C
I am a college student.,C,I am a son or daughter.,R,I am an artist.,C,I am a musician.,C,I am a friend.,R,I am an athlete.,C,I am a teacher.,C,I am an employee.,C,I am a blogger.,C,I am a volunteer.,C
I am a daughter/son.,R,I am a friend.,R,I am a student.,C,I am a teacher.,C,I am a mentor.,C,I am a neighbor.,R,I am a coworker.,R,I am a sister/brother.,R,I am an aunt/uncle.,R,I am a spouse.,R
I am a daughter/son.,R,I am a sibling.,R,I am a friend.,R,I am a student.,C,I am an athlete.,C,I am a musician.,C,I am a colleague.,R,I am a writer.,C,I am an artist.,C,I am a religious adherent.,C
I am a student,C,I am an artist,C,I am a vegan,C,I am a professional,C,I am a gamer,C,I am a single parent,C,I am a lover of nature,C,I am a reader,C,I am a traveler,C,I am an activist,C
I am my own person.,C,"I am the oldest, youngest, or only child in my family.",R,"I am a woman, man, transgender, or non-binary individual.",C,"I am a mother, father, or caregiver.",R,"I am single, married, divorced, or widowed.",C,"I am a student, teacher, employee, or entrepreneur.",C,"I am a motivated, organized, or patient person.",C,"I am an athlete, artist, musician, or writer.",C,"I am a Christian, Hindu, Muslim, or atheist.",C,"I am a liberal, moderate, or conservative.",C
I am a Christian,C,I am an artist,C,I am a father,R,I am a son,R,I am a friend,R,I am an environmentalist,C,I am a teacher,C,I am a cyclist,C,I am a musician,C,I am a writer,C
I am a creative person.,C,I am a sports enthusiast.,C,I am a student.,C,I am an entrepreneur.,C,I am a traveler.,C,I am an artist.,C,I am a family person.,C,I am a writer.,C,I am an animal lover.,C,I am a volunteer.,C
I am an individual.,C,I am a daughter/son.,R,I am a parent.,R,I am a partner.,R,I am a friend.,R,I am a co-worker.,C,I am a student.,C,I am a mentor.,C,I am a teacher.,C,I am a citizen.,C
I am a son/daughter.,R,I am a friend.,R,I am an employee.,C,I am a student.,C,I am a volunteer.,C,I am an athlete.,C,I am an artist.,C,I am a chef.,C,I am an engineer.,C,I am a gamer.,C
